SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6716732-633829	6716732	633829	2925849600	1996	9	18	7.1	0.187	0.056	5.8	0.075	11	15	0.082232	0.318784	0.236214286
6716732-633829	6716732	633829	2928268800	1996	10	16	7.06	0.205	0.061	4.9	0.063	73	12	0.090717	0.341229	0.245785714
6716732-633829	6716732	633829	2930601600	1996	11	12	7.12	0.194	0.058	5.6	0.087	117	8	0.080026	0.344562	0.256642857
6716732-633829	6716732	633829	2933020800	1996	12	10	6.95	0.178	0.074	8.1	0.137	218	12	0.122378	0.398786	0.261428571
6716732-633829	6716732	633829	2936131200	1997	1	15	6.81	0.194	0.071	9.9	0.112	199	12	0.106687	0.367119	0.246785714
6716732-633829	6716732	633829	2938982400	1997	2	17	6.99	0.207	0.059	7.2	0.088	177	7	0.084923	0.354451	0.257357143
6716732-633829	6716732	633829	2941142400	1997	3	14	6.98	0.21	0.065	7.1	0.092	190	11	0.090305	0.371785	0.268428571
6716732-633829	6716732	633829	2943907200	1997	4	15	6.71	0.192	0.067	6.5	0.088	138	11	0.098099	0.359563	0.252142857
6716732-633829	6716732	633829	2946412800	1997	5	14	7.02	0.211	0.071	6.9	0.078	98	29	0.094687	0.372119	0.271
6716732-633829	6716732	633829	2949091200	1997	6	14	7.01	0.169		8.2	0.115	3	21			
6716732-633829	6716732	633829	2951856000	1997	7	16	7.26	0.201	0.058	8.4	0.096	1	29	0.075026	0.343562	0.268928571
6716732-633829	6716732	633829	2954361600	1997	8	14	7.16	0.227	0.057	6.5	0.066	2	23	0.071129	0.368673	0.297857143
6716732-633829	6716732	633829	2957299200	1997	9	17	7.3	0.221	0.058	7	0.069	3	29	0.076026	0.359562	0.283785714
6716732-633829	6716732	633829	2959718400	1997	10	15	7.03	0.171	0.052	8.2	0.123	92	15	0.069644	0.323228	0.247428571
6716732-633829	6716732	633829	2962137600	1997	11	12	6.82	0.169	0.054	8.2	0.123	123	9	0.072438	0.321006	0.240214286
6716732-633829	6716732	633829	2965075200	1997	12	16	6.98	0.2	0.066	8	0.102	162	8	0.105202	0.401674	0.285428571
6716732-633829	6716732	633829	2967494400	1998	1	13	6.97	0.204	0.066	6.8	0.115	217	8	0.104202	0.406674	0.2875
6716732-633829	6716732	633829	2970432000	1998	2	16	6.79	0.208	0.07	7.4	0.119	206	8	0.10979	0.40923	0.285285714
6716732-633829	6716732	633829	2972937600	1998	3	17	6.76	0.196	0.066	7.4	0.131	232	8	0.102202	0.397674	0.279428571
6716732-633829	6716732	633829	2975443200	1998	4	15	7.08	0.196	0.065	6.2	0.111	174	17	0.095305	0.354785	0.247571429
6716732-633829	6716732	633829	2977948800	1998	5	14	7.27	0.193	0.065	6.5	0.112	86	20	0.087305	0.362785	0.269857143
6716732-633829	6716732	633829	2980886400	1998	6	17	6.9	0.148	0.047	6.3	0.103	1	26	0.068159	0.287783	0.219928571
6716732-633829	6716732	633829	2983219200	1998	7	14	7.12	0.2	0.048	6.2	0.16	2	14	0.068056	0.320672	0.252857143
6716732-633829	6716732	633829	2985724800	1998	8	12	7.16	0.201	0.049	6.7	0.094	11	24	0.073953	0.331561	0.257214286
6716732-633829	6716732	633829	2988662400	1998	9	15	7.03	0.2	0.05	7.4	0.122	44	13	0.07085	0.34345	0.269857143
6716732-633829	6716732	633829	2991254400	1998	10	15	7.14	0.193	0.053	8.3	0.143	123	10	0.074541	0.357117	0.274214286
6716732-633829	6716732	633829	2994019200	1998	11	16	6.91	0.179	0.054	9.1	0.164	134	8	0.085438	0.360006	0.265428571
6716732-633829	6716732	633829	2996524800	1998	12	15	6.9	0.214	0.064	7.4	0.121	176	18	0.089408	0.387896	0.286428571
6716732-633829	6716732	633829	2999203200	1999	1	15	6.76	0.232	0.067	7.6	0.141	223	8	0.094099	0.420563	0.311071429
6716732-633829	6716732	633829	3002054400	1999	2	17	6.73	0.24	0.073	8.3	0.155	260	8	0.094481	0.436897	0.324428571
6716732-633829	6716732	633829	3004387200	1999	3	16	6.86	0.215	0.066	7.4	0.118	199	8	0.082202	0.377674	0.281785714
6716732-633829	6716732	633829	3006806400	1999	4	13	6.84	0.231	0.078	8.7	0.164	305	9	0.089966	0.422342	0.311214286
6716732-633829	6716732	633829	3009225600	1999	5	11	6.76	0.162	0.055	7.6	0.158	126	16	0.067335	0.311895	0.236
6716732-633829	6716732	633829	3012249600	1999	6	15	7.1	0.161	0.042	6.6	0.114	13	18	0.056674	0.283338	0.226071429
6716732-633829	6716732	633829	3014841600	1999	7	15	7.04	0.173	0.044	7.3	0.105	5	28	0.053468	0.294116	0.240642857
6716732-633829	6716732	633829	3017606400	1999	8	16	7.08	0.203	0.047	6.4	0.083	1	20	0.061159	0.325783	0.264928571
6716732-633829	6716732	633829	3019939200	1999	9	12	6.92	0.211	0.055	6.9	0.073	1	17	0.059335	0.331895	0.272928571
6716732-633829	6716732	633829	3022617600	1999	10	13	7.32	0.227	0.064	5.4	0.073	71	11	0.072408	0.354896	0.277928571
6716732-633829	6716732	633829	3025555200	1999	11	16	6.9	0.174	0.051	7.1	0.122	112	10	0.065747	0.311339	0.238
6716732-633829	6716732	633829	3027974400	1999	12	14	6.96	0.194	0.059	6.3	0.103	147	9	0.074923	0.321451	0.2365
6716732-633829	6716732	633829	3030480000	2000	1	12	6.76	0.194	0.063	7.2	0.118	205	8	0.083511	0.351007	0.253357143
6716732-633829	6716732	633829	3033417600	2000	2	15	6.71	0.193	0.063	6.5	0.109	210	9	0.086511	0.353007	0.252
6716732-633829	6716732	633829	3035923200	2000	3	15	6.86	0.199	0.056	6.4	0.095	192	9	0.082232	0.358784	0.263285714
6716732-633829	6716732	633829	3038256000	2000	4	11	7.03	0.216	0.063	6.5	0.095	164	10	0.094511	0.375007	0.269285714
6716732-633829	6716732	633829	3041366400	2000	5	17	6.8	0.129	0.04	8.2	0.154	59	15	0.05388	0.25056	0.192785714
6716732-633829	6716732	633829	3043872000	2000	6	15	7.33	0.171	0.05	6.3	0.095	5	18	0.06185	0.28445	0.222642857
6716732-633829	6716732	633829	3046204800	2000	7	12	7.21	0.193	0.054	6.3	0.089	10	29	0.065438	0.319006	0.253285714
6716732-633829	6716732	633829	3047673600	2000	7	29	7.06	0.161	0.043	9.1	0.17	50	26	0.057571	0.312227	0.251428571
6716732-633829	6716732	633829	3048019200	2000	8	2	6.98	0.169	0.046	9.1	0.161	28	23	0.068262	0.340894	0.271
6716732-633829	6716732	633829	3048537600	2000	8	8	6.94	0.18	0.051	8.4	0.158	17	18	0.078747	0.350339	0.270785714
6716732-633829	6716732	633829	3049142400	2000	8	15	7.03	0.196	0.052	8.3	0.132	39	17	0.083644	0.358228	0.272214286
6716732-633829	6716732	633829	3051734400	2000	9	14	7.11	0.2	0.051	7.4	0.105	57	14	0.069747	0.367339	0.293928571
6716732-633829	6716732	633829	3054585600	2000	10	17	6.93	0.203	0.054	7	0.108	124	15	0.069438	0.378006	0.300142857
6716732-633829	6716732	633829	3057004800	2000	11	14	6.74	0.134	0.046	9.6	0.198	147	29	0.057262	0.303894	0.2365
6716732-633829	6716732	633829	3059337600	2000	12	11	6.77	0.132	0.052	9.2	0.175	153	25	0.077644	0.335228	0.247071429
6716732-633829	6716732	633829	3062534400	2001	1	17	6.71	0.178	0.055	10.3	0.172	160	14	0.073335	0.359895	0.275571429
6716732-633829	6716732	633829	3064953600	2001	2	14	6.74	0.178	0.055	8.5	0.155	175	15	0.074335	0.351895	0.2655
6716732-633829	6716732	633829	3067545600	2001	3	16	6.87	0.177	0.05	7.9	0.149	181	7	0.07185	0.34645	0.262071429
6716732-633829	6716732	633829	3070310400	2001	4	17	6.86	0.194	0.058	9.1	0.162	220	21	0.072026	0.375562	0.288285714
6716732-633829	6716732	633829	3072729600	2001	5	15	6.67	0.141	0.046	9.4	0.165	117	12	0.071262	0.312894	0.233642857
6716732-633829	6716732	633829	3075062400	2001	6	11	6.95	0.15	0.045	7.5	0.137	7	22	0.059365	0.282005	0.2225
6716732-633829	6716732	633829	3078086400	2001	7	16	6.99	0.183	0.047	5.3	0.09	2	24	0.055159	0.310783	0.255857143
6716732-633829	6716732	633829	3080592000	2001	8	14	7.07	0.195	0.047	6.5	0.1	8	19	0.058159	0.325783	0.267428571
6716732-633829	6716732	633829	3083097600	2001	9	12	7.07	0.178	0.039	6.5	0.105	45	17	0.048983	0.309671	0.257785714
6716732-633829	6716732	633829	3086035200	2001	10	16	7	0.157	0.038	6.8	0.128	100	13	0.047086	0.291782	0.237857143
6716732-633829	6716732	633829	3088540800	2001	11	14	6.83	0.162	0.048	7.3	0.144	132	10	0.062056	0.327672	0.256571429
6716732-633829	6716732	633829	3090960000	2001	12	12	6.78	0.18	0.057	8.1	0.146	157	20	0.069129	0.336673	0.256785714
6716732-633829	6716732	633829	3093984000	2002	1	16	6.7	0.195	0.055	8.7	0.129	192	7	0.081335	0.386895	0.292285714
6716732-633829	6716732	633829	3096316800	2002	2	12	6.64	0.2	0.062	7.6	0.145	270	8	0.083614	0.391118	0.288714286
6716732-633829	6716732	633829	3098908800	2002	3	14	6.7	0.18	0.055	7.9	0.165	224	8	0.080335	0.367895	0.272
6716732-633829	6716732	633829	3101846400	2002	4	17	7.01	0.193	0.057	7.4	0.148	256	10	0.079129	0.389673	0.292714286
6716732-633829	6716732	633829	3104092800	2002	5	13	6.99	0.145	0.045	7.9	0.153	78	13	0.061365	0.287005	0.220428571
6716732-633829	6716732	633829	3106684800	2002	6	12	7.04	0.171	0.048	7.7	0.118	7	17	0.062056	0.328672	0.2665
6716732-633829	6716732	633829	3109536000	2002	7	15	7.55	0.195	0.047	7.5	0.103	2	23	0.057159	0.340783	0.283857143
6716732-633829	6716732	633829	3111868800	2002	8	11	6.96	0.204	0.048	8.5	0.143	6	19	0.061056	0.380672	0.319571429
6716732-633829	6716732	633829	3115152000	2002	9	18	7.17	0.219	0.054	7.5	0.105	20	14	0.068438	0.368006	0.298571429
6716732-633829	6716732	633829	3117484800	2002	10	15	7	0.208	0.05	6.1	0.089	88	8	0.05985	0.34445	0.278714286
6716732-633829	6716732	633829	3120595200	2002	11	20	6.92	0.214	0.056	5.9	0.089	151	7	0.065232	0.354784	0.279214286
6716732-633829	6716732	633829	3122409600	2002	12	11	6.82	0.22	0.066	6	0.097	179	7	0.069202	0.364674	0.283214286
6716732-633829	6716732	633829	3125433600	2003	1	15	6.71	0.225	0.059	6.9	0.112	208	16	0.074923	0.385451	0.296142857
6716732-633829	6716732	633829	3127852800	2003	2	12	6.72	0.224	0.066	6.9	0.117	243	11	0.077202	0.409674	0.315642857
6716732-633829	6716732	633829	3130272000	2003	3	12	6.76	0.221	0.069	6.6	0.105	261	7	0.081893	0.403341	0.303357143
6716732-633829	6716732	633829	3133209600	2003	4	15	7.08	0.246	0.067	6.8	0.107	232	11	0.085099	0.397563	0.296428571
6716732-633829	6716732	633829	3135628800	2003	5	13	7.28	0.238	0.08	7.5	0.124	179	16	0.09976	0.44512	0.333214286
6716732-633829	6716732	633829	3138134400	2003	6	11	7.04	0.176	0.053	6.7	0.136	35	17	0.065541	0.325117	0.2575
6716732-633829	6716732	633829	3140899200	2003	7	13	7.18	0.187	0.05	7.7	0.125	37	26	0.05385	0.32645	0.270357143
6716732-633829	6716732	633829	3143491200	2003	8	12	7.09	0.205	0.054	6.7	0.106	3	20	0.059438	0.342006	0.282785714
6716732-633829	6716732	633829	3146515200	2003	9	16	7.32	0.231	0.059	5.9	0.086	22	14	0.066923	0.362451	0.294428571
6716732-633829	6716732	633829	3149020800	2003	10	15	7.17	0.218	0.057	6.5	0.085	118	8	0.065129	0.354673	0.281571429
6716732-633829	6716732	633829	3151353600	2003	11	11	7.05	0.213	0.055	7.1	0.098	156	8	0.067335	0.368895	0.290857143
6716732-633829	6716732	633829	3154464000	2003	12	17	6.87	0.258	0.072	7.6	0.127	352	12	0.087584	0.424008	0.311857143
6716732-633829	6716732	633829	3156883200	2004	1	14	6.48	0.226	0.071	7.7	0.121	241	9	0.088687	0.407119	0.301785714
6716732-633829	6716732	633829	3159302400	2004	2	11	6.62	0.236	0.068	7.9	0.118	206	8	0.094996	0.413452	0.304285714
6716732-633829	6716732	633829	3162326400	2004	3	17	6.83	0.23	0.065	7.1	0.099	238	6	0.086305	0.393785	0.291
6716732-633829	6716732	633829	3164659200	2004	4	13	7.04	0.25	0.088	7.5	0.124	326	24	0.098936	0.438232	0.316714286
6716732-633829	6716732	633829	3167078400	2004	5	11	7.31	0.227	0.076	7.5	0.129	119	15	0.077172	0.395564	0.3105
6716732-633829	6716732	633829	3170102400	2004	6	15	6.86	0.196	0.056	7.7	0.119	1	20	0.065232	0.356784	0.291928571
6716732-633829	6716732	633829	3172521600	2004	7	13	7.14	0.225	0.059	9.7	0.095	1	23	0.067923	0.358451	0.290928571
6716732-633829	6716732	633829	3175545600	2004	8	17	7.01	0.27	0.073	5.5	0.062	2	25	0.076481	0.411897	0.335857143
6716732-633829	6716732	633829	3177878400	2004	9	13	7.35	0.275	0.065	6	0.073	7	14	0.075305	0.405785	0.3305
6716732-633829	6716732	633829	3180470400	2004	10	13	7.17	0.22	0.064	8.2	0.126	85	11	0.065408	0.364896	0.293928571
6716732-633829	6716732	633829	3183408000	2004	11	16	7.11	0.205	0.06	8	0.131	154	24	0.06582	0.36234	0.286
6716732-633829	6716732	633829	3185827200	2004	12	14	7.01	0.213	0.056	6.2	0.099	158	7	0.066232	0.361784	0.284714286
6716732-633829	6716732	633829	3188332800	2005	1	12	6.8	0.221	0.063	6.7	0.115	241	5	0.071511	0.389007	0.300785714
6716732-633829	6716732	633829	3191270400	2005	2	15	6.84	0.217	0.061	7.1	0.087	202	6	0.073717	0.380229	0.292571429
6716732-633829	6716732	633829	3193776000	2005	3	16	6.79	0.213	0.061	6.4	0.098	173	8	0.076717	0.394229	0.305642857
6716732-633829	6716732	633829	3196108800	2005	4	12	7.02	0.253	0.074	6.5	0.088	275	9	0.089378	0.402786	0.294357143
6716732-633829	6716732	633829	3198528000	2005	5	10	7.26	0.259	0.086	7.2	0.09	131	11	0.089142	0.418454	0.320642857
6716732-633829	6716732	633829	3201465600	2005	6	13	7.23	0.183	0.052	6.2	0.112	7	18	0.049644	0.306228	0.2565
6716732-633829	6716732	633829	3204057600	2005	7	13	7.15	0.225	0.054	7.2	0.106	144	20	0.054438	0.361006	0.296714286
6716732-633829	6716732	633829	3206563200	2005	8	11	7.22	0.23	0.059	5.5	0.079	222	29	0.061923	0.363451	0.286142857
6716732-633829	6716732	633829	3209500800	2005	9	14	7.28	0.202	0.053	7.3	0.112	4	20	0.052541	0.329117	0.276714286
6716732-633829	6716732	633829	3211833600	2005	10	11	7.16	0.22	0.053	6	0.092	24	13	0.058541	0.339117	0.279285714
6716732-633829	6716732	633829	3214857600	2005	11	15	7.29	0.22	0.053	6.1	0.099	106	11	0.062541	0.353117	0.283428571
6716732-633829	6716732	633829	3217276800	2005	12	13	7.01	0.189	0.054	7.6	0.151	130	13	0.061438	0.341006	0.270714286
6716732-633829	6716732	633829	3220300800	2006	1	17	6.86	0.212	0.047	7.8	0.099	135	7	0.060159	0.360783	0.291357143
6716732-633829	6716732	633829	3222720000	2006	2	14	6.82	0.221	0.056	6.3	0.097	167	9	0.069232	0.356784	0.276071429
6716732-633829	6716732	633829	3225225600	2006	3	15	6.77	0.21	0.051	6.7	0.093	168	8	0.069747	0.379339	0.298
6716732-633829	6716732	633829	3227558400	2006	4	11	6.72	0.238	0.061	6	0.093	229	8	0.080717	0.395229	0.298642857
6716732-633829	6716732	633829	3230496000	2006	5	15	6.77	0.173	0.053	9.8	0.162	180	20	0.064541	0.344117	0.267142857
6716732-633829	6716732	633829	3233001600	2006	6	13	7.28	0.211	0.052	8.8	0.112	20	19	0.060644	0.336228	0.274571429
6716732-633829	6716732	633829	3235161600	2006	7	8	6.99	0.222	0.054	7.6	0.099	7	25	0.063438	0.344006	0.2805
6716732-633829	6716732	633829	3237926400	2006	8	9	7.2	0.233	0.057	6.4	0.065	1	26	0.062129	0.371673	0.309928571
6716732-633829	6716732	633829	3241036800	2006	9	14	7.31	0.226	0.056	7.7	0.11	28	15	0.062232	0.368784	0.305
6716732-633829	6716732	633829	3243196800	2006	10	9	7.05	0.203	0.043	7.4	0.104	102	12	0.055571	0.345227	0.282714286
6716732-633829	6716732	633829	3246480000	2006	11	16	6.93	0.189	0.062	11.3	0.16	170	12	0.082614	0.388118	0.293857143
6716732-633829	6716732	633829	3248812800	2006	12	13	6.86	0.153	0.049	10	0.169	148	14	0.065953	0.319561	0.243428571
6716732-633829	6716732	633829	3251318400	2007	1	11	6.91	0.185	0.051	8.7	0.138	177	11	0.061747	0.363339	0.289357143
6716732-633829	6716732	633829	3254169600	2007	2	13	6.84	0.227	0.058	8.4	0.147	215	6	0.072026	0.393562	0.306642857
6716732-633829	6716732	633829	3256848000	2007	3	16	6.75	0.206	0.06	7.2	0.123	169	5	0.06582	0.35534	0.277928571
6716732-633829	6716732	633829	3259094400	2007	4	11	7.03	0.245	0.077	8.7	0.163	262	14	0.092069	0.436453	0.326285714
6716732-633829	6716732	633829	3262118400	2007	5	16	7.31	0.261	0.065	7.8	0.119	37	9	0.074305	0.443785	0.367357143
6716732-633829	6716732	633829	3264537600	2007	6	13	7.28	0.349	0.076	7.3	0.088	1	12	0.082172	0.497564	0.415928571
6716732-633829	6716732	633829	3267561600	2007	7	18	7.16	0.256	0.065	6.7	0.079	1	20	0.074305	0.391785	0.317928571
6716732-633829	6716732	633829	3269808000	2007	8	13	7.07	0.317	0.074	6.1	0.063	1	16	0.082378	0.464786	0.382928571
6716732-633829	6716732	633829	3272400000	2007	9	12	7.13	0.283	0.061	5.9	0.072	1	15	0.086717	0.433229	0.346928571
6716732-633829	6716732	633829	3275337600	2007	10	16	7.29	0.294	0.073	6.4	0.082	55	5	0.076481	0.420897	0.341071429
6716732-633829	6716732	633829	3277756800	2007	11	13	7.32	0.264	0.069	5.9	0.072	139	18	0.079893	0.401341	0.312071429
6716732-633829	6716732	633829	3280176000	2007	12	11	7.13	0.271	0.073	7.2	0.105	286	8	0.095481	0.442897	0.327571429
6716732-633829	6716732	633829	3283286400	2008	1	16	7.01	0.304	0.078	7.8	0.118	237	10	0.094966	0.490342	0.379071429
6716732-633829	6716732	633829	3285705600	2008	2	13	6.95	0.22	0.065	8.7	0.136	224	9	0.087305	0.396785	0.294
6716732-633829	6716732	633829	3288124800	2008	3	12	7.07	0.238	0.066	7.7	0.122	195	10	0.081202	0.405674	0.311071429
6716732-633829	6716732	633829	3290976000	2008	4	14	7.03	0.231	0.06	8	0.12	177	11	0.08282	0.40334	0.308357143
6716732-633829	6716732	633829	3293481600	2008	5	13	6.98	0.185	0.046	9.2	0.149	58	20	0.049262	0.308894	0.255857143
6716732-633829	6716732	633829	3296505600	2008	6	17	7.25	0.178	0.046	7.4	0.109	2	25	0.047262	0.287894	0.240857143
6716732-633829	6716732	633829	3298924800	2008	7	15	7.2	0.237	0.05	6.7	0.08	2	19	0.05785	0.33845	0.280857143
6716732-633829	6716732	633829	3301344000	2008	8	12	7.38	0.26	0.054	6.6	0.063	1	17	0.067438	0.385006	0.317928571
6716732-633829	6716732	633829	3304281600	2008	9	15	7.35	0.553	0.09	8.7	0.107	100	13	0.09973	0.72701	0.620857143
6716732-633829	6716732	633829	3306960000	2008	10	16	7.16	0.223	0.053	7	0.103	127	9	0.062541	0.364117	0.292928571
6716732-633829	6716732	633829	3309292800	2008	11	12	7.13	0.225	0.055	9.2	0.143	140	9	0.068335	0.402895	0.325
6716732-633829	6716732	633829	3312316800	2008	12	17	6.99	0.304	0.071	10.6	0.167	237	11	0.095687	0.507119	0.395071429
6716732-633829	6716732	633829	3314736000	2009	1	14	6.85	0.271	0.075	9.4	0.163	219	13	0.093275	0.469675	0.361357143
6716732-633829	6716732	633829	3317760000	2009	2	18	6.82	0.244	0.058	7.9	0.118	182	16	0.072026	0.393562	0.309
6716732-633829	6716732	633829	3320265600	2009	3	19	6.82	0.209	0.062	7.7	0.106	201	6	0.071614	0.389118	0.303642857
6716732-633829	6716732	633829	3322598400	2009	4	15	6.99	0.282	0.072	8.9	0.134	229	14	0.082584	0.451008	0.352642857
6716732-633829	6716732	633829	3324931200	2009	5	12	7.24	0.272	0.064	10.4	0.149	91	17	0.070408	0.437896	0.3615
6716732-633829	6716732	633829	3327955200	2009	6	16	7.25	0.2	0.048	8.2	0.12	7	22	0.066056	0.338672	0.2725
6716732-633829	6716732	633829	3330374400	2009	7	14	7.38	0.232	0.054	10.7	0.126	10	31	0.068438	0.404006	0.335285714
6716732-633829	6716732	633829	3333312000	2009	8	17	7.12	0.225	0.054	11	0.158	45	20	0.062438	0.396006	0.330785714
6716732-633829	6716732	633829	3335817600	2009	9	15	7.08	0.213	0.051	9.7	0.14	102	12	0.056747	0.362339	0.298714286
6716732-633829	6716732	633829	3338323200	2009	10	14	7.09	0.269	0.06	9.2	0.128	137	9	0.06382	0.44834	0.375214286
6716732-633829	6716732	633829	3341174400	2009	11	16	7.08	0.241	0.061	9.2	0.127	155	8	0.070717	0.426229	0.344928571
6716732-633829	6716732	633829	3343593600	2009	12	14	6.97	0.214	0.058	10.8	0.169	143	10	0.065026	0.386562	0.311785714
6716732-633829	6716732	633829	3346272000	2010	1	14	6.85	0.216	0.054	8.6	0.136	158	7	0.061438	0.372006	0.299714286
6716732-633829	6716732	633829	3349123200	2010	2	16	6.95	0.217	0.052	8.5	0.121	168	7	0.059644	0.354228	0.283
6716732-633829	6716732	633829	3351628800	2010	3	17	6.86	0.306	0.061	9.1	0.128	204	6	0.066717	0.397229	0.316428571
6716732-633829	6716732	633829	3353875200	2010	4	12	6.82	0.304	0.078	8.8	0.146	296	11	0.082966	0.472342	0.368857143
6716732-633829	6716732	633829	3356812800	2010	5	16	7.11	0.211	0.062	11.3	0.176	197	16	0.083614	0.376118	0.278928571
6716732-633829	6716732	633829	3359404800	2010	6	15	7.11	0.218	0.05	10.3	0.142	64	20	0.06485	0.35545	0.286428571
6716732-633829	6716732	633829	3362428800	2010	7	20	7.14	0.207	0.049	8.5	0.133	18	23	0.062953	0.346561	0.282714286
6716732-633829	6716732	633829	3364848000	2010	8	17	7.16	0.245	0.051	7.3	0.105	57	17	0.058747	0.364339	0.301928571
6716732-633829	6716732	633829	3367267200	2010	9	14	7.01	0.206	0.043	9.3	0.161	79	12	0.047571	0.333227	0.280357143
6716732-633829	6716732	633829	3369686400	2010	10	12	7.06	0.214	0.048	10.3	0.177	118	11	0.049056	0.359672	0.302571429
6716732-633829	6716732	633829	3372710400	2010	11	16	7.15	0.222	0.051	7.9	0.124	153	7	0.057747	0.358339	0.290071429
6716732-633829	6716732	633829	3375129600	2010	12	14	6.98	0.257	0.061	7.7	0.138	179	6	0.070717	0.402229	0.319214286
6716732-633829	6716732	633829	3377721600	2011	1	13	6.87	0.262	0.06	7.8	0.128	202	6	0.07182	0.40434	0.318571429
6716732-633829	6716732	633829	3380572800	2011	2	15	6.79	0.277	0.067	8.5	0.129	236	7	0.082099	0.447563	0.349142857
6716732-633829	6716732	633829	3382992000	2011	3	15	6.76	0.274	0.066	8.6	0.125	234	6	0.080202	0.451674	0.355285714
6716732-633829	6716732	633829	3385411200	2011	4	12	6.8	0.256	0.075	9.5	0.143	398	15	0.089275	0.433675	0.316571429
6716732-633829	6716732	633829	3388348800	2011	5	16	6.95	0.203	0.055	10.8	0.152	137	15	0.071335	0.365895	0.285214286
6716732-633829	6716732	633829	3390768000	2011	6	13	7.18	0.233	0.058	8.9	0.097	21	19	0.074026	0.372562	0.2975
6716732-633829	6716732	633829	3393878400	2011	7	19	7.18	0.228	0.045	8.1	0.104	5	20	0.053365	0.364005	0.310642857
6716732-633829	6716732	633829	3396211200	2011	8	15	7.23	0.254	0.049	8	0.091	2	20	0.059953	0.371561	0.311857143
6716732-633829	6716732	633829	3398630400	2011	9	12	6.99	0.224	0.045	7.6	0.116	80	20	0.050365	0.368005	0.312285714
6716732-633829	6716732	633829	3401049600	2011	10	10	7.07	0.218	0.046	9.4	0.139	107	10	0.049262	0.361894	0.305357143
6716732-633829	6716732	633829	3404160000	2011	11	15	7.09	0.215	0.052	7.9	0.122	158	9	0.066644	0.381228	0.303714286
6716732-633829	6716732	633829	3406579200	2011	12	13	6.99	0.222	0.061	8.1	0.129	201	9	0.074717	0.372229	0.283642857
6716732-633829	6716732	633829	3409603200	2012	1	17	6.98	0.29	0.072	9.8	0.152	272	10	0.087584	0.471008	0.364571429
6716732-633829	6716732	633829	3412108800	2012	2	15	6.8	0.22	0.055	8.1	0.133	196	7	0.068335	0.363895	0.282
6716732-633829	6716732	633829	3414441600	2012	3	13	6.93	0.222	0.061	7.6	0.12	195	8	0.070717	0.380229	0.296071429
6716732-633829	6716732	633829	3416947200	2012	4	11	7.11	0.234	0.061	7.6	0.119	184	12	0.076717	0.377229	0.287857143
6716732-633829	6716732	633829	3419712000	2012	5	13	7.2	0.274	0.067	8.2	0.126	160	13	0.080099	0.438563	0.347571429
6716732-633829	6716732	633829	3422908800	2012	6	19	7.1	0.202	0.044	8.6	0.122	38	15	0.053468	0.323116	0.267285714
6716732-633829	6716732	633829	3425241600	2012	7	16	7.08	0.237	0.054	8	0.11	62	24	0.068438	0.378006	0.305571429
6716732-633829	6716732	633829	3428006400	2012	8	17	7.03	0.234	0.047	9.2	0.138	71	15	0.058159	0.370783	0.307928571
6716732-633829	6716732	633829	3430252800	2012	9	12	7.1	0.226	0.045	10.7	0.171	94	15	0.049365	0.375005	0.319285714
6716732-633829	6716732	633829	3432758400	2012	10	11	7.09	0.243	0.053	9.8	0.167	140	14	0.062541	0.384117	0.312
6716732-633829	6716732	633829	3435609600	2012	11	13	7.09	0.245	0.059	11.1	0.188	144	12	0.066923	0.395851	0.319114286
6716732-633829	6716732	633829	3438028800	2012	12	11	7.04	0.377	0.071	9.3	0.166	152	9	0.072687	0.554319	0.471342857
6716732-633829	6716732	633829	3441052800	2013	1	15	7.06	0.612	0.11	9	0.144	222	11	0.09467	0.76089	0.651242857
6716732-633829	6716732	633829	3443472000	2013	2	12	6.79	0.235	0.052	9	0.151	184	8	0.058644	0.368028	0.296657143
6716732-633829	6716732	633829	3446496000	2013	3	19	6.94	0.271	0.058	8.3	0.134	194	7	0.065026	0.395162	0.316742857
6716732-633829	6716732	633829	3448828800	2013	4	15	6.84	0.259	0.058	8.3	0.138	221	9	0.065026	0.399762	0.319414286
6716732-633829	6716732	633829	3451248000	2013	5	13	7.21	0.244	0.063	10.7	0.165	221	18	0.066511	0.387207	0.305414286
6716732-633829	6716732	633829	3454358400	2013	6	18	7.31	0.313	0.055	7.8	0.113	14	14	0.059335	0.427995	0.3681
6716732-633829	6716732	633829	3456604800	2013	7	14	7.26	0.226	0.049	7.5	0.098	3	21	0.055953	0.346861	0.291085714
6716732-633829	6716732	633829	3459196800	2013	8	13	7.18	0.234	0.044	7.4	0.093	3	20	0.050468	0.345216	0.294885714
6716732-633829	6716732	633829	3462220800	2013	9	17	7.17	0.274	0.051	6.6	0.074	8	15	0.062747	0.384939	0.322028571
6716732-633829	6716732	633829	3464726400	2013	10	16	7.2	0.271	0.05	5.6	0.066	37	9	0.05985	0.37935	0.317257143
6716732-633829	6716732	633829	3467059200	2013	11	12	7.18	0.259	0.051	5.9	0.075	124	7	0.064747	0.381739	0.308542857
6716732-633829	6716732	633829	3469564800	2013	12	11	7.09	0.285	0.062	6.4	0.098	166	8	0.077614	0.440818	0.351842857
